[2023-05-24 20:32:01] [INFO    ] discord.client: logging in using static token
[2023-05-24 20:32:01] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2023-05-24 20:32:01] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (f7ead6a7674e5a323d93786263b66cb1).
[2023-05-24 20:32:01] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '786137070006697985', 'username': 'EmmaBotTesting', 'global_name': None, 'avatar': '34547441ed036668ab1c1c9de25fa9d3', 'discriminator': '4760', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'banner_color': None, 'accent_color': None, 'bio': '', 'locale': 'en-US', 'mfa_enabled': True, 'premium_type': 0, 'linked_users': [], 'avatar_decoration': None, 'email': None, 'verified': True}
[2023-05-24 20:32:02] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2023-05-24 20:32:02] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (f7ead6a7674e5a323d93786263b66cb1).
[2023-05-24 20:32:02] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '786137070006697985', 'name': 'EmmaBotTesting', 'icon': 'b2b247beded1fe12e324207697be6356', 'description': 'Prefix: "*-*"\nUse "-help" for help', 'type': None, 'bot': {'id': '786137070006697985', 'username': 'EmmaBotTesting', 'avatar': '34547441ed036668ab1c1c9de25fa9d3', 'discriminator': '4760', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration': None, 'display_name': None, 'banner_color': None}, 'summary': '', 'bot_public': True, 'bot_require_code_grant': False, 'verify_key': '0922e0c21ecb81d20efc52a2c0d0f8834898fae528341f3cde7e1fe9f685cf4d', 'flags': 565248, 'hook': True, 'owner': {'id': '222224934359793674', 'username': 'Bot Emmu', 'avatar': '525c46785e11cecc97872d2880874697', 'discriminator': '8847', 'public_flags': 4194432, 'flags': 4194432, 'banner': None, 'accent_color': 2412970, 'global_name': None, 'avatar_decoration': None, 'display_name': None, 'banner_color': '#24d1aa'}, 'team': None}
[2023-05-24 20:32:07] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2023-05-24 20:32:07] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-b-cqx9",{"micros":0.0}]']}}
[2023-05-24 20:32:07] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2023-05-24 20:32:07] [DEBUG   ] discord.http: GET https://discord.com/api/v10/guilds/767324204390809620 with None has returned 200
